ENSMUSG00000059895|Ptp4a3
ENSMUSG00000029655|N4bp2l2
ENSMUSG00000038271|Iffo1
ENSMUSG00000037993|Dhx38
ENSMUSG00000020238|Ncln
ENSMUSG00000056952|Tatdn2
ENSMUSG00000021188|Trip11
ENSMUSG00000009741|Ubp1
ENSMUSG00000024474|Ik
ENSMUSG00000038517|Tbkbp1
ENSMUSG00000027189|Trim44
